,ID_x,Neighborhood,FID,NAME_x,ST_ABBREV_x,OBJECTID,Mean_am_T_,Mean_am_HI,Mean_p2_T_,Mean_p2_HI,Mean_ev_T_,Mean_ev_HI,Shape__Area,Shape__Length,TC_ID_y,Existing Canopy,Possible Canopy Percentage,Possible Impervious Canopy Percentage
46,25025010300,Longwood Medical and Academic Area,52,250250103.0,MA,52,75.4240530815,76.5691464293,91.753387707,95.6832230568,84.8432114858,89.676937083,5449353.29882813,12396.4834726284,52,17.3849637397,30.1402902036,20.0014790763
47,25025010403,Fenway,53,250250104.03,MA,53,76.8949809058,78.1780510601,92.4926400179,97.4689723486,85.4426572532,91.4212477281,943981.657714844,4210.15376823013,53,10.0731359031,14.4335357353,11.6833122174
48,25025010404,Fenway,54,250250104.04,MA,54,76.4541005937,77.6459225301,92.1173251649,96.1700927602,84.9929772469,90.1417905524,1490930.65356445,5346.25428648807,54,13.4420808698,19.7009219171,15.564737091
49,25025010405,Fenway,55,250250104.05,MA,55,75.9177085887,77.0957943847,91.5557666313,95.3433999039,84.995318254,90.1720324083,3936418.82446289,14817.5163817937,55,18.2667878271,23.874860627,16.0023209147
50,25025010408,Fenway,56,250250104.08,MA,56,75.850825104,76.9020331575,92.4279243487,96.9783091357,85.0296464464,89.8314376973,460378.049316406,2738.39689576843,56,16.0140400872,29.6016907184,21.079244824
51,25025010500,Back Bay,57,250250105.0,MA,57,77.0360257069,78.327748672,92.7895969213,97.6081492287,85.3167963125,91.2324723714,2115498.41699219,6652.27678714463,57,11.9722943608,27.181466926,23.1307485703
52,25025010600,Back Bay,58,250250106.0,MA,58,77.3305885961,78.5784496764,92.3739124949,97.6186205267,85.5798704522,91.478638658,3635937.89794922,10199.4964238396,58,7.70398819112,11.5688813994,10.2207728521
53,25025010701,Back Bay,59,250250107.01,MA,59,76.0751697477,77.3345298243,91.7625038851,96.8682498726,86.1302394287,91.4476372491,2193352.48681641,7228.98771515683,59,21.2044422276,15.0953762206,12.7648389606
54,25025010702,Back Bay,60,250250107.02,MA,60,76.4336471406,77.6908355571,91.822821168,97.0741803675,85.7409661537,91.3379521894,3242869.10498047,7865.2825083905,60,19.467344171,17.894699838,15.6289374698
55,25025010801,Back Bay,61,250250108.01,MA,61,76.6318144463,77.9376243284,91.5722039576,97.7181578036,87.2300099988,92.9920859574,1366484.84960938,6199.24597776726,61,18.3664463684,15.3542566636,12.5651948326
56,25025010802,Back Bay,62,250250108.02,MA,62,75.959105153,77.3635392876,91.3984456662,96.9476780646,87.0344409707,92.5763839672,1654960.32666016,6448.27842624886,62,20.7481751825,15.8192947262,12.0145502006
57,25025020101,Beacon Hill,63,250250201.01,MA,63,76.8469614521,78.0316065785,92.2294818133,98.0008615439,86.2592427141,91.8151969089,2383713.00756836,8009.84853869239,63,21.7960544945,8.5949931305,6.48808063011
58,25025020200,Beacon Hill,64,250250202.0,MA,64,76.5804201176,77.8010020484,91.9391584692,97.3376035986,86.094167161,91.5809333398,1297981.15698242,5368.26838488242,64,16.9965538468,9.80832361944,6.86880811483
59,25025020301,West End,65,250250203.01,MA,65,76.4003768896,77.6746843003,91.3056459842,96.0747752597,86.0951821455,91.1117088207,2672881.36108398,10504.2540415356,65,17.0309322015,21.0463339474,15.8089770433
60,25025020302,Beacon Hill,66,250250203.02,MA,66,76.8059109158,78.0933294558,92.338002084,97.2024921791,86.3243739309,91.8656409868,824885.489746094,4016.82231420369,66,14.4995829656,18.7597590899,12.6641466797
61,25025020303,West End,67,250250203.03,MA,67,76.28760651,77.6317107457,90.9793565188,95.4050387504,86.6106246083,91.5018189245,4673981.46191406,14066.7273981635,67,8.54269102897,26.7580073308,21.9600995205
62,25025030100,North End,68,250250301.0,MA,68,76.5956420315,77.8904142829,92.0595048261,97.7209277596,86.2044750335,91.3587123118,842280.485595703,4070.3668623432,68,12.1114262614,17.805857679,11.6106420794
63,25025030200,North End,69,250250302.0,MA,69,76.7974225622,78.0719573134,91.4273846604,96.419810618,86.5297612108,91.7053398313,683252.783447266,4501.08151179357,69,4.46032236206,17.6584917507,16.1814746461
64,25025030300,Downtown,70,250250303.0,MA,70,76.4802036186,77.7976215456,91.6727021114,96.5162885465,86.4986395722,91.655940559,7400148.57348633,22873.8230884969,70,9.31127447714,26.5289366108,23.3254128217
65,25025030400,North End,71,250250304.0,MA,71,76.5970729321,77.9004009782,92.109702325,97.311339966,86.2616356361,91.3201007139,1170052.49316406,6138.43210491313,71,8.14645273721,15.1726902345,12.8123496316
66,25025030500,North End,72,250250305.0,MA,72,76.0309734957,77.4314629142,91.6844744973,97.0845512441,86.2821802243,91.5566872167,1975109.1809082,13992.6953753675,72,8.52721419258,39.4282650617,31.8063080767
67,25025040100,Charlestown,73,250250401.0,MA,73,76.5377532008,77.7920781348,91.9672555056,96.9679048054,85.9047216756,91.4193762627,2752933.92700195,8906.59327214586,73,19.2746985495,27.5556663948,20.262494903
68,25025040200,Charlestown,74,250250402.0,MA,74,76.3386342961,77.6038064229,91.5480070228,96.7463148903,85.6618695643,91.2624376483,1530175.76538086,7240.93962858036,74,24.1486037762,26.3072626903,19.7674365411
