,ID,Total,Neighborhood,Existing_Canopy,Potential_Canopy,Impossible_Canopy,Existing_Percent,Potential_Percent,Impossible_Percent
74,25025040300,3020377,Charlestown,510324,703682,1806371,16.896036488160252,23.297820106562856,59.80614340527689
75,25025040401,4589925,Charlestown,665833,1598551,2325541,14.506402610064434,34.82738824708464,50.66620914285092
76,25025040600,15143092,Charlestown,1359812,7493131,6290149,8.979751295178026,49.48217312554134,41.53807557928064
77,25025040801,9589408,Charlestown,860350,5463595,3265463,8.971878138879898,56.97531067611264,34.05281118500746
78,25025050101,3041676,East Boston,408450,1050592,1582634,13.428451945572112,34.539904973442276,52.03164308098561
79,25025050200,2599598,East Boston,387658,638808,1573132,14.912228736904707,24.573337877625693,60.5144333854696
80,25025050300,3426271,East Boston,370089,1612156,1444026,10.801509863055198,47.05278712629561,42.145703010649186
81,25025050400,1402128,East Boston,180545,402061,819522,12.876499149863635,28.675056770851164,58.4484440792852
82,25025050500,1241598,East Boston,156228,416601,668769,12.582816660464982,33.55361397167199,53.86356936786303
83,25025050600,1819223,East Boston,249114,558053,1012056,13.693428458193416,30.67534876153171,55.63122278027488
84,25025050700,2926564,East Boston,506563,919554,1500447,17.30913795153634,31.420942784781058,51.269919263682596
85,25025050901,6382622,East Boston,587994,3142861,2651767,9.21242085149332,49.24090757685478,41.5466715716519
86,25025051000,11164542,East Boston,1560878,5897121,3706543,13.980672023984503,52.8200888133163,33.19923916269919
87,25025051101,12581085,East Boston,2191417,5630147,4759521,17.418346668828644,44.75088595300008,37.830767378171274
88,25025051200,4075147,East Boston,628125,2039637,1407385,15.413554406749007,50.05063621017843,34.53580938307256
89,25025060101,3190233,South Boston,420309,1037373,1732551,13.174868418701708,32.51715470312043,54.30797687817787
90,25025060200,1838930,South Boston,273553,502389,1062988,14.875661390047473,27.31963696279902,57.804701647153514
91,25025060301,2937580,South Boston,490679,784588,1662313,16.703511053315996,26.708651338857152,56.58783760782685
92,25025060400,4283808,South Boston,769955,1210120,2303733,17.9736113289858,28.248698354361352,53.77769031665285
93,25025060501,4441408,South Boston,585121,1425094,2431193,13.174223129241899,32.08653652175166,54.739240349006444
94,25025060600,13195762,Waterfront,729292,4904652,7561818,5.526713804022837,37.16838785058415,57.30489834539302
95,25025060700,1391176,South Boston,316019,459857,615300,22.715961172418154,33.0552712237704,44.228767603811455
96,25025060800,3663383,South Boston,400763,886082,2376538,10.9396969959188,24.18753376319102,64.87276924089018
97,25025061000,1884289,South Boston,349765,522635,1011889,18.56217384912824,27.73645656266104,53.701369588210724
98,25025061101,1789472,South Boston,601410,529859,658203,33.60823751363531,29.609795515101663,36.78196697126303
99,25025061200,19801698,South Boston,701121,7711155,11389422,3.54071150867971,38.94188771084177,57.517400780478525
100,25025070101,10953643,Downtown,599092,2088160,8266391,5.469340200333351,19.063611987354346,75.4670478123123
101,25025070200,2866764,Chinatown,197652,505245,2163867,6.894603113475682,17.624227177402812,75.4811697091215
102,25025070300,3616969,Bay Village,559290,520236,2537443,15.46294701447538,14.383203173707045,70.15384981181757
103,25025070402,2884666,South End,354037,605791,1924838,12.273067315245509,21.000386179890494,66.72654650486399
104,25025070500,3187217,South End,885954,678175,1623088,27.797103240852444,21.27796758112171,50.92492917802585
105,25025070600,1417933,South End,394780,224773,798380,27.841936114047698,15.852159446179757,56.30590443977255
106,25025070700,1768316,South End,411873,237551,1118892,23.291821145089454,13.433741480595096,63.274437374315454
107,25025070800,2115382,South End,537143,510181,1068058,25.392245939504072,24.11767709094622,50.49007696954971
108,25025070900,1794767,South End,407881,380913,1005973,22.726125452496063,21.223534865528507,56.05033968197544
109,25025071101,3932360,South End,629166,1044011,2259183,15.999705011748668,26.54922234993744,57.45107263831388
110,25025071201,4335084,South End,366602,1647816,2320666,8.45662967545727,38.01116656563056,53.53220375891217
111,25025080100,11098055,Roxbury,782582,4944957,5370516,7.051523893150646,44.556969667207454,48.3915064396419
112,25025080300,2871215,Roxbury,670699,1045297,1155219,23.359414045970087,36.40608592529643,40.234500028733486
113,25025080401,4732399,Roxbury,882355,1784821,2065223,18.644983231549155,37.7149306303209,43.64008613812994
114,25025080500,2623432,Roxbury,605160,1052927,965345,23.06749326835992,40.13547902137353,36.79702771026655
115,25025080601,6016377,Roxbury,913034,2506183,2597160,15.175810957325314,41.65601656944038,43.16817247323431
